Cust.No.,Name(1),Name(2),Contact,add1,add2,add3,add4,Phone,Fax,Area,Agent,Term
3000/A01,ALL 2 EAT FOOD CORNER SDN BHD,,,"NO.2, JALAN NADCHAFIRAM,","TAMAN TAYNTON VIEW,",56000 KUALA LUMPUR.,,,,K.L,,7DAYS
3000/A02,ANDALASIA GROUP SDN BHD (IPOH),(876007-W),,"NO.51 & 51A, JALAN MEDAN IPOH 4,","BANDAR BARU MEDAN IPOH,","31400 IPOH, PERAK.",,05-548 6982,,IPOH,,7 DAYS
3000/A03,ANDALASIA CAFE SDN BHD(1ST GARDEN),(889964-M),,"NO.40, OFF JALAN NG SONG TEIK,","TAMAN PERTAMA, 30100 IPOH,",PERAK.,,,,IPOH,,7 DAYS
3000/B01,BIG GOURMET SDN BHD(KLANG),,,"NO:B4-20-0, JLN BATU NILAM 3,","BANDAR BUKIT TINGGI,","41200 KLANG, SELANGOR.",,03-33240799,,K.VALLEY,,7DAYS
3000/D01,DELTA RITZ SDN BHD(JAYA 1),,,"39&41-LG2, BLOCK C, JAYA ONE","NO.72A, JALAN UNIVERSITI","46200 PETALING JAYA,",SELANGOR DARUL EHSAN.,03-7960 0139,,K.VALLEY,,7 DAYS
3000/D02,DELI-CLASSIC SDN BHD (PUCHONG JAYA),,,"NO.6, JALAN KENALI 6,","BANDAR PUCHONG JAYA,","47100 PUCHONG, SELANGOR.",,03-5882 2278,,K.VALLEY,,7 DAYS
3000/E01,EMPIRE KITCHEN SDN BHD(BP),,,"NO:25, JALAN PUTERI 2/1,","BANDAR PUTERI,","47100 PUCHONG, SELANGOR.",,03-8061 0884,,K.VALLEY,,7 DAYS
3000/E02,EMPIRE KITCHEN SDN BHD(PJ)XX,,,"NO:6, JALAN KENARI 6,","BANDAR PUCHONG JAYA,","47100 PUCHONG, SELANGOR.",,03-5882 2278,,K.VALLEY,,7 DAYS
3000/E03,EMPIRE KITCHEN SDN BHD(SS15),,,"NO:24&26, JLN SS15/8B,","47500 SUBANG JAYA,",SELANGOR.,,03-5632 4588,,K.VALLEY,,7 DAYS
3000/E04,ETHNIC VIBES SDN BHD(RAMPAI),,,"33&35, JALAN RAMPAI NIAGA 5","RAMPAI BUSSINESS PARK,","TAMAN SRI RAMPAI,",53300 K.L,,,K.L,,7 DAYS
